ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,30.72892,30.72892,30.72892,30.72892,30.72892,28.4,28.4,28.4,28.4,26.50219,26.50219,26.50219
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,23.51791,23.51791,23.51791,23.51791,25.10903,25.10903,25.10903,26.85326,26.85326,26.85326,26.85326,26.85326
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,27.60673,,,23.81426,23.81426,23.81426,23.81426,23.81426,23.81426,18.7899,18.7899,18.7899
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,,,12.18062,12.18062,12.18062,12.18062,12.18062,14.4674,14.4674,14.4674,14.4674,14.4674
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91,24.98809,24.98809,,,,,26.8,26.8,26.8,26.20491,26.20491,26.20491
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,17.81977,17.81977,17.81977,17.81977,17.81977,17.81977,13.58745,13.58745,13.58745,13.58745,13.58745,13.58745
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,,,,,,,,,,18.24092,18.24092,18.24092
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,21.94,21.94,,,,,,,,,,
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,,,18.85424,18.85424,18.85424,18.85424,18.85424,18.85424,16.88955,16.88955,16.88955,16.88955
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,21.89996908,23.09223585,23.1446627,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130,23.35938341,23.35938341,23.35938341,23.35938341,23.35938341,23.35938341,,,,,22.94714,22.94714
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,20.88408,20.88408,22.72846,22.72846,22.72846,22.72846,22.4,22.4,22.4,22.4,22.4,22.4
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,,,23.29338571,23.29338571,23.29338571,23.29338571,23.29338571,24.94038796,24.94038796,24.94038796,24.94038796,24.94038796
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,9.023161435,8.854335766,8.960416954,8.884698945,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,28.734225,26.32497,24.063041,24.660035,24.294552,24.352623,23.698562,23.357915,23.545822,23.543408,23.543408,23.543408
USA,United States,America,Northern Hemisphere,Very High,,21,24.539,24.91,24.964,24.645,26.434,25.892,25.817,26.285,26.02,26.002,23.222,23.222
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101,20.07272,20.07272,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,High,LAC,89,,,,,,,,,,,,
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120,19.4,20.1,21.8,21.8,21,21,21,21,21,21,21,21
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115,21.9935,21.9935,21.9935,21.43403,21.43403,21.43403,21.43403,21.43403,21.43403,21.43403,14.60094,14.60094
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,140,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999
WSM,Samoa,Oceania,Southern Hemisphere,High,EAP,111,,,,,,,,,,,21.87008,21.87008
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,183,20.57543,20.57543,20.57543,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109,57.268,57.268,54.705,54.705,54.705,56.124,56.124,56.996,56.996,56.996,56.996,56.996
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154,42.62731,42.62731,42.62731,42.62731,48.55829,48.55829,48.55829,48.55829,44.84022,44.84022,44.84022,44.84022
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146,34.48,35.7758,35.7758,35.7758,35.7758,27.01627,27.01627,27.01627,27.01627,28.76901,28.76901,28.76901
